1	vLdfKriwhLUMSeLEHKAt	Non-empty Intersection	probability	7	JaneStreet|JumpTrading	FREE
301	BguRVkJlNk76UVHaj1gS	Conditional Expected Rolls	probability	6	SusquehannaInternationalGroup	PAID
302	1EPxeqeaKzUd98vykohm	Maximising Heads II	probability	2	HudsonRiverTrading|SusquehannaInternationalGroup	PAID
303	2zBhbrSI8nuIeEHYBENk	Green Ball Draw	probability	2		PAID
304	eBj76wFIX4bXG4yjRSsY	Same Values On Dice	probability	5		PAID
305	5CXktJhZgpFidIdgUiNY	Meeting Probability	probability	4		PAID
306	ChYA9NB8N7TtJSHlB9i3	Knight Return	probability	8		PAID
307	A7SckUWiepxIhVTu1h4H	Rolling Everything II	probability	7		PAID
308	u9SptuG4xqzSVCo0VgpQ	No Empty Bucket	probability	5		PAID
309	qVuNJZQ2flx4IX8vlkns	Painted Cube II	probability	4	Citadel|JaneStreet	PAID
310	ifDjJ1gZ5383HgCgHDHV	Random Point On Disc	probability	2		PAID
311	Wmuviz73uxfxSJoTxnDc	14 Marbles	probability	6	Graviton	PAID
312	35b8rEEJ9y3RmphIVcnC	Heaven Or Hell	probability	10		PAID
313	UboX7c1frKgOg9wD6NWD	Largest Area Expectation	probability	7		PAID
314	QUyHmdBePkTHohQQiBfP	No Fives	probability	2		PAID
315	X5OwyRgTa3kBtVDQYanU	Maximum Rolled Value	probability	4		PAID
316	APs93FGYhymWukz2Idq0	Random Knight Movement	probability	7		PAID
317	nvjGBPV0wTL4y5CPMqRN	Game On 1-10	brainteasers	4	IMCTrading	PAID
318	uHX81vX5uiDAUIXCwsEO	Easy Card Expectation	probability	3	AkunaCapital|Optiver	PAID
319	U8Vx0fi6wVq5ORAg2d5g	Bot Move	probability	6	Citadel	PAID
320	MZHr4VOmNdhoJo0Vi2HH	Rigged Game	probability	4		PAID
321	iEaYGraZ9maoOpS0iTLK	Maximising Heads I	probability	2		PAID
322	G5x8ZXa7qiqvl6D1FfYP	Distinct Number Count	probability	5		PAID
323	WHt1GaJnt3Tae1jLy0F4	Non-linearity Of Expectation	probability	7		PAID
324	jgAmmRWEE2EOe2cQXPx8	Noodle Loop I	probability	7	Citadel|HudsonRiverTrading|IMCTrading|JaneStreet	PAID
325	P29eZkUXIOjoW4UyQyYm	Dice Sum Parity	probability	4	HudsonRiverTrading|Optiver	PAID
326	a06R5u0ljyRiUG8NYJnd	Nearest Diagonal I	probability	3		PAID
327	b0Ibe9eljzyVtGjloAnV	No Adjacent Standing Pair	probability	8		PAID
328	OhhCpw1zg8Se7ztdsM9K	Odd Heads III	probability	5		PAID
329	TKTGQiqkYmIatJLTDclM	Handshakes On A Chessboard	probability	5		PAID
330	jQfqDPJUbtq4FbIMVBzG	Erase	brainteasers	3		PAID
331	Dm0kkpRWpgWeCJ1vL8eV	Permutation Blocks	probability	9		PAID
332	2zxZL3li2U4QUblo19wD	Count Paths III	combinatorics	8		PAID
333	lOfMLi948YNo0aCwaVRX	Tigers And The Sheep	brainteasers	2	Citadel	PAID
334	0rxWdRieGUvxyEHl9S83	Unique Birthdays Expectation	probability	6		PAID
335	HTdB19KbyZcoMUDvuzuT	Simpson's Paradox	brainteasers	4	Optiver	PAID
336	Q95ZZUIfRRz40bR8WoNC	2014 Stones	brainteasers	5		PAID
337	gGsIf13ABFZNV10nKeLb	Chess Tournament IV	probability	6		PAID
338	fQO1F2gCcIUf6pflRPAq	Interesting Summation IV	probability	10		PAID
339	khGjqIPDn1QegXxahoCh	Chess Tournament I	probability	6	FiveRings	PAID
340	eqovBBiJFNphxYTXc6nn	How Many 5s	probability	6		PAID
341	fBySyHTDoNKxAHkJjPPD	Sphere Variance	probability	5	Graviton|TwoSigma	PAID
342	I6jZAYFyP6DqiPavP2WN	B Before O I	combinatorics	4		PAID
343	1DnrOTEhdd2bJ2utAbqv	Count Regions II	combinatorics	5		PAID
344	IpFltLjHVXb1cwdq1zlr	Square Fitting I	probability	4	JumpTrading	PAID
345	ZnE0loT2P2tqPfwZluNM	Ant On An Icosahedron	probability	8		PAID
346	7yvmQtgnt9gLKdxKIk70	Count 9s	brainteasers	3	AkunaCapital	PAID
347	N5HynOj12lF2nh0eJTlE	Grid Travel I	combinatorics	5		PAID
348	tRBb5e9uvtLN6KpobFf4	Jumping Frog III	combinatorics	3		PAID
349	zF0Nc7hF5TAKbpruMI9r	Seven Colors I	probability	2		PAID
350	TcR5ymdCl0meW3gfrBgf	Triangle Angle I	probability	1		PAID
351	VkuUUXgwVSBtwYEWNomf	Ant On A Cube III	probability	6		PAID
352	2eWki8YQUX1B0EfDrjHF	Odd Sum	probability	4		PAID
353	iRr9CDmbYlW690EUsOLN	Coin Equalizer	probability	7	Citadel	PAID
354	gq8rL08yMP1LBy8dSLtZ	Combining Turtles	probability	3		PAID
355	5IJcxFFwcnHyrYriR69l	Roll Die Till 65	probability	4		PAID
356	Sv87y5RtFSleBwiC4yBN	Assigning Numbers To Dice	combinatorics	4	DRW	PAID
357	JLirzBNAh1SKcvV152tJ	Diagonal Cut I	brainteasers	4	SusquehannaInternationalGroup	PAID
358	VkakZdkQuTE1iraGmhUb	Meet Again	brainteasers	1	AkunaCapital|IMCTrading	PAID
359	UaYSy6600mAs9DAIDTwe	Non-empty Buckets	probability	3		PAID
360	JuoKoGwh3s9Yymk0KwYK	Maximize Product	brainteasers	5		PAID
361	rfpwSNOivdwMeaOlwVql	End With 2018	probability	3		PAID
362	RMD2Il5OzvWjDpPpLDZC	Balls In Garbage Bag	probability	7	HudsonRiverTrading	PAID
363	VnkrbuqPTxjx0sul5Brr	Coin Coloring Game	probability	7		PAID
364	PvNZH8dV0Uqdlq6mDWQ9	Sufficient Sum II	probability	9	AkunaCapital|IMCTrading	PAID
365	as3sUaaI0gve1Nktxl0B	Asking For A Date	probability	7		PAID
366	XcnkZG57WOxPnR1K2YW8	Digit Picking	probability	5		PAID
367	2dnYsbGGklbCyG3DTy8q	Equal Heads	probability	1		PAID
368	SjcOSWSP9XamTXvxmbDK	Car Crash	probability	2	FiveRings|JumpTrading|Optiver|SusquehannaInternationalGroup	PAID
369	UXt72plqIMHRs5HfS1cD	Interesting Average II	brainteasers	5		PAID
370	MiBEg6F8h0kW6WrsMoqZ	Dice Permutation	probability	6		PAID
371	Qf11pqT77ngurIDcasBq	Is It A Perfect Square?	brainteasers	4	TwoSigma	PAID
372	QNmYlJk3P8e7oUz0alBU	Die Roll LCM	probability	7		PAID
373	wZVktmWujRh3FKb7G4kM	Higher Roll II	probability	4		PAID
374	r95iLjNk29WxF4ZjwM2H	N Point Variance	probability	4	SusquehannaInternationalGroup	PAID
375	bTIf5YebWCPPUGBWIUh2	Game Of Cuts	brainteasers	5	SusquehannaInternationalGroup	PAID
376	rx9iFEkCyqS1qB6ijxQ5	Next Date I	brainteasers	4		PAID
377	ZSh3KO3hb7eQggg5Q4OB	Dice Game I	probability	4	AkunaCapital|Citadel|DRW|HudsonRiverTrading|Optiver|SusquehannaInternationalGroup	PAID
378	2ggty4JtNUFf4UvtFr9H	Poisoned Wine II	brainteasers	10	FiveRings|JaneStreet|SusquehannaInternationalGroup|TwoSigma	PAID
379	qx7S7t4dNyCnDeEfhFnI	Poisson Cards	probability	8		PAID
380	JMK7LJpxLNuCXcOOl6r2	Min Collinearity	brainteasers	4		PAID
381	xn0zh2Rv6zxJlP26dz0y	Losing It All	probability	2	JumpTrading	PAID
382	5cCUjvD72bfr7qyMtzho	Handy Subsets	combinatorics	10		PAID
383	Xe17vfzKYrjADgxE1bSE	Last To Front	probability	5	Graviton	PAID
384	bd0ifaxbuUmAycG9pS8F	Coin Toss Movement	probability	4		PAID
385	vvoD0ZIprotTdahT4jPd	1s And 9s	probability	5		PAID
386	q4vn89IiyYnqxrZATSkC	Low Median	probability	1	IMCTrading	PAID
387	4r19Glqcd8U94yfX5cVC	Connected Components I	probability	4	JumpTrading	PAID
388	O8g5E0WZ27iWBQvNAnME	3 Heads 3 Tails II	probability	4		PAID
389	s7iDd2WxrE4ERolyRLHi	Keep The GCD High	brainteasers	10		PAID
390	xSHCP01tkoGBpy3yW1b8	Moth On A Cube	combinatorics	4		PAID
391	Fy1nDZ40nQdQx8sU8URf	Expected Arc Length I	probability	5		PAID
392	aMe3RBXk44xl4i5KqyDG	Dice Difference II	probability	4		PAID
393	zchmKExFDmfPduDPXsaN	Game On 2 Piles	brainteasers	4		PAID
394	EE8MuyzoyGtsRhMKhg95	5-runs	probability	10		PAID
395	UsRRxZEJj1SmwkRMQkTq	Dice Difference III	probability	5	AkunaCapital	PAID
396	4aQeNLL6XcZAMsh8GAnq	7994 Stones	brainteasers	8		PAID
397	gosmhi4ITWmybONqM44u	Measuring Everything II	brainteasers	9	SusquehannaInternationalGroup	PAID
398	QUVDJRKghBSJpQ4Weplf	Ending At 1	probability	4		PAID
399	ZuNj8BHMYreQivF8X6Uj	Points On A Square	probability	5	HudsonRiverTrading	PAID
400	83MJZT60FU8IhH3o2hPg	Standing Table III	probability	8	Citadel|JaneStreet	PAID
401	lY5MBRkuKH8mY8IRpD5v	Hungry Driver	brainteasers	8	AkunaCapital|Optiver	PAID
402	CixfBmSPN9ECz33F9hqf	Sufficient Sum III	probability	9	AkunaCapital	PAID
403	yvN9EoJvMbUjHK74Owtx	Conditional One	probability	2		PAID
404	3vrR2eonRchCIwYkdGTg	Average Drawn	probability	3		PAID
405	GKUiCz1ek7iGdhvt7Iq5	Too Many Hats	brainteasers	10	SusquehannaInternationalGroup	PAID
406	TvKOcgftvLkZWq3ToTXr	Watermelon Weight	brainteasers	1		PAID
407	uwZQSzKrjaDTRC5cEKj0	Intersecting Subsets	probability	5		PAID
408	PEApvHle3fYlsRU73uQj	Bernoulli Matrix	probability	2	JumpTrading	PAID
409	iI0fs3lqTyIQSenIq6LZ	B Before O II	combinatorics	4		PAID
410	sj4Pvo6TSJwYiprg8tEh	Bacteria Population III	brainteasers	6		PAID
411	tI1arFsBEK8dXhCtX2HW	Sorted Rows	probability	6		PAID
412	myso4T5yuOcE1GJBRgVm	Coin Reflip Game	probability	2		PAID
413	CHDK9w7BXzhAUL5DJf9E	Large Language Model	combinatorics	7	Graviton	PAID
414	ZJfL4DmHNwvomvPqakdQ	Strange Die	probability	5		PAID
415	Ul30VDOe3HriGifiBfxk	Cannons	combinatorics	2	IMCTrading	PAID
416	JAQ2X4VwCSEscgb27hjK	Field Construction	probability	2		PAID
417	uUqHfzgdIRBxNjNOge5c	Chocolate Bar	brainteasers	3		PAID
418	8DQS19ZdITcTpSTDm94Y	Unfair Rock Paper Scissors	probability	5		PAID
419	8nuV5EUFNSlPexVTeYb8	Sum Over One I	probability	7		PAID
420	tMTwUNf8Q9b7tRCHuq0b	Exactly 2 Consecutive Heads	probability	4		PAID
421	PKLwZlMs2xuGYZKg1wce	Reach Multiple Of 7	probability	3		PAID
422	v1adNVzPMJERoxrlB6NI	Painted Cube I	probability	4	FiveRings|HudsonRiverTrading|JaneStreet|SusquehannaInternationalGroup	PAID
423	zNsQzUgbWYJLG7IZjOiQ	Nearest Circular Neighbor	probability	5		PAID
424	b7qdp4MJNOOAdjQbqfgC	Free Throws II	probability	9	Citadel|Optiver	PAID
425	pVLvtaxjIHYUUiv9dpdo	Same Sum Subsets	brainteasers	10	Optiver	PAID
426	wCXjOJzHheeBcy1IrAUn	Pistol Shots	brainteasers	3		PAID
427	KWR7z46sgAQq65vIAdK2	Buying Tickets	probability	8		PAID
428	UM40zQIsIWEn8u5xfLhG	First Ace	probability	6	AkunaCapital|Citadel|HudsonRiverTrading|IMCTrading|Optiver	PAID
429	RxayxLSm6M24Ylfjo0KT	Inflating Balloon	brainteasers	2		PAID
430	RZOjA6bjqgSjcbC3ubAB	Expected Squared Area	probability	8		PAID
431	zBpvBkXqYRTN62UEUcud	Singer's Location	probability	2	Citadel	PAID
432	LbxvcO2mqKN9TF7DQhbr	Probability Of Everything	probability	6		PAID
433	qDZGX3H6oj13Oo0XLtbJ	Party Groups II	probability	7	JaneStreet	PAID
434	25niUit0bFocwJehETHU	Heads Run II	probability	10		PAID
435	Kglkw2FzJ6aJH4dVoB7L	Largest 2 Factor	probability	6		PAID
436	2kIlhMArcx3k0exvzBgU	Trailing Zeros II	brainteasers	5	SusquehannaInternationalGroup	PAID
437	bJLE2epA7DPEfCjhGozK	Sum Of Products	brainteasers	7		PAID
438	iqYYJ28jGFq6CJ9pmarI	Ants On An Octahedron	probability	7		PAID
439	Cid2cutZpFs5m0jrNB9f	Broken Stick II	probability	5	JumpTrading	PAID
440	hHq1Kkr9ZLIS8Urxy6o7	Prime Sum	probability	1	JaneStreet	PAID
441	HwXYK7gxxrmqiquWQEfx	Double Factorial	brainteasers	6		PAID
442	hiStb2FXNdB5ShxFqJ0N	Jumping Frog II	probability	6	IMCTrading	PAID
443	sT4tcft8KtBujl2znoWe	Graph Travel I	probability	5	AkunaCapital	PAID
444	Wfndf2lU8nEJTfR0j8Xh	Never Divisible By 3	probability	8	Graviton	PAID
445	az35nttbY1QcT77jziE5	Expected Minimum Distance	probability	4		PAID
446	5sYUPQM2ccLQI9YXo7Mb	800 Marbles	probability	2		PAID
447	bfxqkcyrAd6sOR6AHXIR	Set Intersection	probability	4		PAID
448	QVptg4PZZCxC4DSGkz4j	Remainders	brainteasers	4		PAID
449	LMl4oM5EsAXYrtlHjgYl	Exactly 6	probability	1		PAID
450	CYfZx2GM0hlrSJZo6kVG	Jumping Frog VII	probability	6	FiveRings	PAID
451	6TYt64tjsyMcb6Fb4fL9	Russian Roulette II	probability	3	JaneStreet	PAID
452	rR21H3oGBEkrvs3yIXFj	Segment Overlap	probability	4	AkunaCapital|Graviton	PAID
453	sGg6A9Z4w8jAnFzDf2Zy	4 Die Sum	probability	3		PAID
454	Uju0guulAzU9bIZcGnpC	Poisoned Chocolates	brainteasers	8	IMCTrading|JumpTrading	PAID
455	FQVTyfIpPhilNvdIe8l4	Green And Yellow Dice	probability	3	DRW	PAID
456	67rFR7KVhOv0HDFekkS5	Count Handshake Pairs	combinatorics	6		PAID
457	wpqHkdFBPBewJxyjDnfl	2x3 Grid	probability	3		PAID
458	qGfxJVpfjewpRpvSIiIn	Forming Quadratic Polynomial III	probability	8		PAID
459	NFFsV2T8anHfoZSkxWip	2D Jumps	probability	6	JumpTrading	PAID
460	bZK8OThsTovFy9ESqp29	Digit Sum II	combinatorics	5		PAID
461	8ZrRgrdz4wgy2dYTDbYy	Conditional Inequality	probability	3	FiveRings	PAID
462	11hULO9KnALrXvl7Yk8y	Yet Another Game	brainteasers	10		PAID
463	2IYCQbMJHety6u5Nne2D	Same Color Corners	brainteasers	5		PAID
464	TbvenmoAatkFFq1LMdXQ	No Chords Intersecting	probability	6		PAID
465	oDhQRymQzkV1tNvuVK7h	Drunk Passenger III	probability	10		PAID
466	JUoRa7guiqHdGT5Dh8Rs	Last Number Deleted	brainteasers	7	Citadel	PAID
467	8XePDYaWyxqBHTzH2wmU	Digit Sum III	brainteasers	4		PAID
468	zYNKhJFi9UpZ9rTj7WBT	Digit Multiply II	brainteasers	5		PAID
469	z8Ec7xpscOnEQ7LlrpNC	Dice Multiple II	probability	5	Graviton|HudsonRiverTrading|SusquehannaInternationalGroup	PAID
470	eU64qDufpcRRJmKK9TNn	Moving The Piece II	brainteasers	8	Citadel	PAID
471	U2zH1iWGNUJs19S9TyZN	Grid Arrangement I	combinatorics	5		PAID
472	uCRR8w8iJoXDn2cSbMhk	Information Transfer	probability	5		PAID
473	ceLwZ79TzZ5p9aoFA8jJ	Chain Link	brainteasers	4	FiveRings	PAID
474	dUMamdroC4TGEscOrcDy	Pandemic I	brainteasers	2		PAID
475	rjz0YQfVywgOY2uDj3Sh	Expected Absolute Difference	probability	2	DRW|JaneStreet	PAID
476	TSjlNsLKOAxbLhjRWWsD	Game On Jar	probability	8	AkunaCapital|JaneStreet	PAID
477	X5iSoBcNWmfZGD71iXuX	3 Bus Stops	brainteasers	3	JaneStreet	PAID
478	7YtnWxWvUbobsz16dcCU	Least Multiple Of 15	brainteasers	2	JaneStreet	PAID
479	dzt9fdru5YeazzHzZCLY	Password	combinatorics	5		PAID
480	9Qzf0bJ2PHnEzrhGgvWR	Bridge Crossing	brainteasers	5		PAID
481	jQFlHcUFbjPfFPhIZ5Fq	Grid Conversion	brainteasers	4	Graviton	PAID
482	n1SKwDovF1LJRLnswAAc	Ants On A Circle IV	probability	10		PAID
483	r8dBCEEIpNBMXAFto8jG	Largest 3	probability	2	JaneStreet|TwoSigma	PAID
484	UalJSdRBfshIGtsNGUoA	Increasing Game	brainteasers	4	DRW	PAID
485	1w09EAG2bfTb6iZMkbcx	Learning To Walk	probability	8	TwoSigma|JumpTrading	PAID
486	pVE2Z6QV3mWnhTIqpuNc	Penguin Walk I	probability	4		PAID
487	AnPIQQv5DICkRslqHZ4r	Circle In 3 Quadrants	probability	7		PAID
488	MrlI2hPq2KSYcnQI1pKA	Passing The Parcel	probability	4	DRW	PAID
489	mj8OeGPLjFMFbbc3Eu0j	Hands Interchange	brainteasers	4	SusquehannaInternationalGroup	PAID
490	DXlbzPadSU8KjqA5DMJ6	Creating Zero	brainteasers	4		PAID
491	cuRysBQTP7mKHeBfr0Ps	Two Coins Remaining II	brainteasers	10		PAID
492	0f30CKsYNgrUKmHRufEa	Uniform Random Variables I	probability	3		PAID
493	KwQo65AWJo5y3VGAxOPr	Jumping Frog VIII	probability	7	JaneStreet	PAID
494	5PBxN56wwzKU1PFl2dBm	Even Or Odd	probability	3		PAID
495	L3uUgTuYPapH4Me2ImdY	Additional Info Coin Flips I	probability	6	JumpTrading|IMCTrading	PAID
496	4dCSZppujEErTt3b8wxC	Bulb Toggle II	brainteasers	5	Graviton	PAID
497	CBf3UjDFrWAxRCRBbXsD	Game On Grid	brainteasers	8		PAID
498	Q96Y3xE83UeXNMIXdGoA	Remove Neighbor	brainteasers	5		PAID
499	vHzUPMsnU1milvFn6ngi	Double Value	probability	1		PAID
500	A7Ux3oYm7eH496YOjX2A	Coin Toss Game II	probability	5	Graviton	PAID
501	4c6u0BmNQK5ox5kkgYn8	Apples And Oranges	probability	5		PAID
502	APeAX0pwNb1rbIMqOJUc	King, Queen, Ace II	probability	6		PAID
503	sNWs88SkYorh8ajjiPsl	One Colored Face	probability	4	Citadel|JaneStreet	PAID
504	rSWy3MvWAvjgGP76RLpl	Same Arc II	probability	8	Citadel|Graviton	PAID
505	59AU96BDYlpTYUdeJvs5	Count Digits I	brainteasers	6		PAID
506	2A4OSA17uoQQ8MvO8V9u	Truck Parking	probability	7		PAID
507	HonlacvwWDTOfOe2aF3s	Unknown Balls	probability	6		PAID
508	sDwb2qhNrXHUAdQokKAi	Coin Transactions	probability	8		PAID
509	Umxp14yCkXgO3l3wyrnW	Red Blue Game	probability	8		PAID
510	XbvJb4XThm0JCPRLrlFg	Hard Card Expectation	probability	7	Citadel|FiveRings|JumpTrading|Optiver	PAID
511	H0KvS0C84FcTEdgRK7vR	Poisoned Wine I	brainteasers	7	FiveRings|SusquehannaInternationalGroup|TwoSigma	PAID
512	H3QS9FUmQ98jSzOyLKp2	Non-negative Expectation	probability	3	JaneStreet	PAID
513	GVBMw5wXbX6G6EpKC6ZA	Regular 21-gon	probability	5	Optiver	PAID
514	B9Mq4tfD8j0a8X9CfbiN	Maximum Till Now I	probability	6	AkunaCapital|Citadel|FiveRings|HudsonRiverTrading	PAID
515	pKOIJfWP6EemKfPnyEE5	Home Run	probability	4		PAID
516	9bV84WUPaKe9evNPS9hQ	Game Of Placing Kings	brainteasers	5	JumpTrading	PAID
517	PytuiLHCCvPSlDmXuQMU	Same Temperature	brainteasers	7		PAID
518	2pr1TL2ALzfvJ2jO4kDH	4x4 Array	combinatorics	4		PAID
519	h81J1oZ7kMjt0D39DFWD	Chess Tournament VII	probability	6		PAID
520	xFGrh8igWERzglouqWVl	Final Number Possibilities I	brainteasers	6	Graviton	PAID
521	WXo3tdCYD1p6E93WnZzY	Car Clusters	probability	8	Citadel|Optiver	PAID
522	8BonEPwautznmkg0kRxT	Strange Party	brainteasers	3	JaneStreet	PAID
523	RwnxYmCzYocJNfiSUJJA	Blackboard	probability	9	JaneStreet	PAID
524	uUlIvDEQxEwwVM7Whqav	Phone Connection	brainteasers	4		PAID
525	tZAtPxAXu3TwuuAkKZVl	Triangle Formation I	probability	6	AkunaCapital	PAID
526	u8ogdJFLTKvb9RnFm4hO	3 Consecutive Heads II	probability	2	JaneStreet	PAID
527	H7egMHBqPvU07tVYl240	Too Many Unknowns	probability	10		PAID
528	csWWB5bv2PkYGIuqEV75	Dice Triangle	probability	3		PAID
529	gwzF7kEH1q1bl1yWULJ1	Triangle Sum	combinatorics	5	AkunaCapital	PAID
530	SOZjM7dbRjmqI5FYsAOc	Is It Fibonacci?	brainteasers	5		PAID
531	q30T6TcWlV5fVsubJBtx	Dice Triangle II	probability	8		PAID
532	YZ8VhKVJ7r49xCNHVEOU	Marble Swap III	probability	5		PAID
533	bQGDlLxSsge4I2BOOzrM	Jet Trail Intersection	probability	7		PAID
534	9iR8cMMSiQOHl4CSRF63	Increasing Decreasing I	combinatorics	4		PAID
535	uSXGgdBaf9zuNtkqKEeJ	Game On Circle	brainteasers	5		PAID
536	TDPyworzIO6xekPwuogT	Tetrahedral Die I	probability	5		PAID
537	zWrZ315W3eNs5V7nGwNw	Highest Roll EV	probability	5		PAID
538	r5S811TFNILlQyTqbqZ5	Chords Intersection II	probability	8	Graviton|HudsonRiverTrading|JumpTrading	PAID
539	gO4el4QOHEEg1IeVt9Vn	Increasing Birthdays	probability	2	AkunaCapital|IMCTrading|JaneStreet|JumpTrading	PAID
540	elgKRnppx8iKzdS33V1A	Binary Trailing Zeros	brainteasers	5	FiveRings	PAID
541	UXObAwHdBMkjyFqWaMO0	Vertical Hit	probability	3		PAID
542	AniO6YFaVcfFgMgW5rsP	Bacteria Population I	probability	4		PAID
543	h1jMvTMsTkVVXLNDSvuX	Count Regions IV	combinatorics	10		PAID
544	uHwPlqMtF49vyvbRsyDu	Expected Ping-pong Games	probability	3		PAID
545	wNh5FHeZCKmX5tFUe8qq	Small Chords	probability	8		PAID
546	bV1GdimLSoDcQdPi1uHB	Large Cycles	probability	8		PAID
547	auuviCZHnpaVYjxE3fd2	Cheating Husbands	brainteasers	4		PAID
548	fAGaRrFVBFjcdFYjyYJy	Largest Prime Probability	probability	6	DRW	PAID
549	7wKjBhE2wynDt5MHqqaD	Jumping Frog VI	probability	3	DRW|FiveRings	PAID
550	k5KKmmMfpREWDHjnCMHA	Dice Game VIII	probability	6		PAID
551	TW3P7KgdPzWfp2ZKF3KF	Simulate 1/3	probability	2	AkunaCapital|Optiver	PAID
552	TJ0O1xzj7rKf1A8UGYVP	Count Sequences I	combinatorics	4	DRW	PAID
553	YFeUn5mLsqGwlG5r4Ypu	Diagonal Cut II	brainteasers	4	SusquehannaInternationalGroup	PAID
554	D1DrlEe4lCsEMEjafajD	Last Ball	brainteasers	4		PAID
555	6C6f0uIuHEnBK7m7oiHn	Treasure Island	brainteasers	6		PAID
556	zRTxCHrwkhVAJBgO08AX	Vector Toggle	probability	10	JumpTrading	PAID
557	Ugd0iY1e8tcY9ssk2YPL	Prisoner Hats-multicolor	brainteasers	10	IMCTrading|SusquehannaInternationalGroup	PAID
558	29TLhkSzkmhEMFcdep2d	Tennis Odds	probability	5	Citadel|Optiver|SusquehannaInternationalGroup	PAID
559	au3lKclAy3nj1yyIIo9C	Pizza Standard Deviation	probability	1	Citadel	PAID
560	8jaYJxMIyTR5YpsYqeuR	Circuit	probability	5	Citadel|JaneStreet	PAID
561	lNAQxPsmHq3KG5mGvsKh	Expected Number Of Rectangles	probability	6	JaneStreet	PAID
562	NcnOl9Y72A7G3hAydYoR	Triangles Inside Triangle	combinatorics	3		PAID
563	LFenn2WhNHRmSLhSzIga	Divisible By 37	brainteasers	6		PAID
564	oAS6PjgzYSSehWYJjXqP	3 Heads 3 Tails III	probability	2	SusquehannaInternationalGroup	PAID
565	ke4fMIelyHlx2BQJgwQN	Unlucky Seven	probability	5	JaneStreet	PAID
566	oWucHtN9ndT7OJaf1HdC	Toss Exceedance	probability	4		PAID
567	oi7eQ7GfsenDYEq93xyn	Tennis Tournament	probability	3		PAID
568	gLhUruTlT6a4LBBksztJ	Chess Tournament VI	probability	3	DRW	PAID
569	ELTk8FwPAnI1Fz0RMQlB	Expected Wait Time II	probability	4	JaneStreet|TwoSigma	PAID
570	Yb4PwLqarfowLKCDhL1C	Weighted Die	probability	6		PAID
571	4rNAf0eQGhNq3vKntBRK	Ordered Pairs In Permutation	probability	7		PAID
572	uzPkv54P8JMv6qYlItuc	Variance Maximum	probability	5	SusquehannaInternationalGroup	PAID
573	MNg0mw6zt9d2yAP0XORW	Additional Info Die Rolls	probability	6		PAID
574	cEkxqRPQd99fEI6WxoIP	Word Problem I	probability	4	IMCTrading	PAID
575	t8NLOC9DrLUQLDnRNNNF	Truth	brainteasers	4	JaneStreet	PAID
576	WcotDuKXIfYPc0mNv7gf	Normal Distributions	probability	6	AkunaCapital|Citadel|JaneStreet|TwoSigma	PAID
577	hqsnVEmDapf08MU6ybhV	Sports Betting	probability	2		PAID
578	Ss9ndqiaXUy50YaffK9L	Even Head Stop I	probability	4		PAID
579	uxua5mVBHKII1CXUiHKb	Interesting Constraints	brainteasers	6		PAID
580	ospO3jtpV0JX0mqDVIZA	Mathematical Expression I	probability	7	AkunaCapital	PAID
581	vbFGlhzL2uPbKHIlbIgc	Inside The Range	combinatorics	6	FiveRings|JumpTrading	PAID
582	cEiHiwE4SHSQMeuhTvfr	Increasing Rolls Expectation	probability	5	JumpTrading	PAID
583	hIkifAhVvLlTxajxWR4X	Card Picking II	probability	6		PAID
584	gKhQi4bDP2fAoRhRZsWh	Prime Dice	probability	2	JaneStreet	PAID
585	99bjzYJs3NJqRhIoaHdn	Fish Estimate	brainteasers	1	SusquehannaInternationalGroup	PAID
586	xjLj0tQWuNIrpHRJv7Y3	Proportional Dice	probability	3		PAID
587	daLaiebHQNnRo6OQUYyi	Moving Ants II	probability	2		PAID
588	CgyZRR0u5eCgqiupYlNs	Card Prediction I	probability	6	JumpTrading	PAID
589	bbe8DNzeZSxXV45M8pNE	Infection Spread	brainteasers	6		PAID
590	KR16TLvFvkosdpuucZEM	Win-win	probability	5		PAID
591	X7ex8qnsJkjgZ7s09zMg	Parking Lot	probability	7	DRW|Graviton|TwoSigma	PAID
592	gd18SWeTY5xNLm46u6Zq	Head-tail Product	probability	3	Graviton|JumpTrading	PAID
593	esHk4hoZo08dIwalXrFX	Guess The End	probability	10		PAID
594	9QhG1fapde5ML2Oqz9bX	Optimal Die Choice	probability	5	JaneStreet	PAID
595	QOunlCkxyvn10BY9eLVl	Two Random Points	probability	6		PAID
596	qBPugWXHAcFceZx7Ehar	Passing The Coin I	probability	3		PAID
597	6rDkl8NI8kNaVV2xA9mf	Jumping Frog IX	probability	5		PAID
598	8NfuarfjfJ0DvGgdpShh	Determinant Expectation	probability	6	IMCTrading	PAID
599	pxvK0GzBr6FyMlSC9CsF	Least N	brainteasers	5		PAID
600	bqEBhSW0nZcSY7PAsja1	Forming Quadratic Polynomial II	probability	7		PAID
601	lJjikyXQyiz68Sc67pnI	Crazy Weights Arrangement	combinatorics	8	JaneStreet	PAID
602	XS8hKYoqPXg9fREpQPHU	Vending Machine I	probability	5	Optiver	PAID
603	VBhKw2CKpcfhaVsQc2SF	Early Head Probability	probability	4		PAID
604	ysbRzUgogSovGGdACdON	Shadow	brainteasers	4		PAID
605	zD7NvGvfQdhmw9v87urs	Rabbit On A Square Grid	combinatorics	5		PAID
606	4jvYUXDKwTcWUtPVD55t	Game Of Moving Rooks	brainteasers	4		PAID
